i,j,t,r
3,4,1,28.68208
3,4,2,26.62584
3,4,3,26.62584
3,4,4,27.82262
3,4,5,36.59531
3,4,6,33.31287
3,4,7,31.61161
3,4,8,31.0825
3,4,9,30.5708
3,4,10,27.41192
3,4,11,26.24948
3,4,12,23.886
3,4,13,23.886
3,4,14,23.886
3,4,15,23.886
3,4,16,25.8836
3,4,17,24.84471
3,4,18,23.886
3,4,19,28.68208
3,4,20,33.31287
3,4,21,29.59634
3,4,22,27.41192
3,4,23,23.886
3,4,24,23.886
3,4,25,23.886
3,4,26,23.886
3,4,27,23.886
3,4,28,23.886
3,4,29,23.886
3,4,30,29.59634
3,4,31,38.09684
3,4,32,38.89478
3,4,33,29.59634
3,4,34,30.5708
3,4,35,31.61161
3,4,36,30.5708
3,4,37,28.68208
3,4,38,28.24582
3,4,39,27.82262
3,4,40,31.0825
3,4,41,30.5708
3,4,42,27.41192
3,4,43,26.24948
3,4,44,25.8836
3,4,45,25.8836
3,4,46,26.24948
3,4,47,26.24948
3,4,48,30.5708
3,4,49,42.45135
3,4,50,38.89478
3,4,51,41.50259
3,4,52,36.59531
3,4,53,33.31287
3,4,54,32.15906
3,4,55,33.31287
3,4,56,28.68208
3,4,57,27.01316
3,4,58,25.18162
3,4,59,23.886
3,4,60,23.886
3,4,61,23.886
3,4,62,23.886
3,4,63,23.886
3,4,64,23.886
3,4,65,23.886
3,4,66,23.886
3,4,67,23.886
3,4,68,23.886
3,4,69,23.886
3,4,70,23.886
3,4,71,23.886
3,4,72,23.886
3,4,73,23.886
3,4,74,23.886
3,4,75,23.886
3,4,76,23.886
3,4,77,23.886
3,4,78,23.886
3,4,79,23.886
3,4,80,23.886
3,4,81,23.886
3,4,82,23.886
3,4,83,23.886
3,4,84,23.886
3,4,85,23.886
3,4,86,28.68208
3,4,87,27.01316
3,4,88,33.31287
4,3,0,31.61161
4,3,1,28.68208
4,3,2,26.62584
4,3,3,26.62584
4,3,4,27.82262
4,3,5,36.59531
4,3,6,33.31287
4,3,7,31.61161
4,3,8,31.0825
4,3,9,30.5708
4,3,10,27.41192
4,3,11,26.24948
4,3,12,23.886
4,3,13,23.886
4,3,14,23.886
4,3,15,23.886
4,3,16,25.8836
4,3,17,24.84471
4,3,18,23.886
4,3,19,28.68208
4,3,20,33.31287
4,3,21,29.59634
4,3,22,27.41192
4,3,23,23.886
4,3,24,23.886
4,3,25,23.886
4,3,26,23.886
4,3,27,23.886
4,3,28,23.886
4,3,29,23.886
4,3,30,29.59634
4,3,31,38.09684
4,3,32,38.89478
4,3,33,29.59634
4,3,34,30.5708
4,3,35,31.61161
4,3,36,30.5708
4,3,37,28.68208
4,3,38,28.24582
4,3,39,27.82262
4,3,40,31.0825
4,3,41,30.5708
4,3,42,27.41192
4,3,43,26.24948
4,3,44,25.8836
4,3,45,25.8836
4,3,46,26.24948
4,3,47,26.24948
4,3,48,30.5708
4,3,49,42.45135
4,3,50,38.89478
4,3,51,41.50259
4,3,52,36.59531
4,3,53,33.31287
4,3,54,32.15906
4,3,55,33.31287
4,3,56,28.68208
4,3,57,27.01316
4,3,58,25.18162
4,3,59,23.886
4,3,60,23.886
4,3,61,23.886
4,3,62,23.886
4,3,63,23.886
4,3,64,23.886
4,3,65,23.886
4,3,66,23.886
4,3,67,23.886
4,3,68,23.886
4,3,69,23.886
4,3,70,23.886
4,3,71,23.886
4,3,72,23.886
4,3,73,23.886
4,3,74,23.886
4,3,75,23.886
4,3,76,23.886
4,3,77,23.886
4,3,78,23.886
4,3,79,23.886
4,3,80,23.886
4,3,81,23.886
4,3,82,23.886
4,3,83,23.886
4,3,84,23.886
4,3,85,23.886
4,3,86,28.68208
4,3,87,27.01316
4,3,88,33.31287
4,25,0,49.40726
4,25,1,44.82537
4,25,2,41.60972
4,25,3,41.60972
4,25,4,43.48125
4,25,5,57.20346
4,25,6,52.06839
4,25,7,49.40726
4,25,8,48.57966
4,25,9,47.77932
4,25,10,42.83898
4,25,11,41.02118
4,25,12,37.32552
4,25,13,37.32552
4,25,14,37.32552
4,25,15,37.32552
4,25,16,40.44904
4,25,17,38.82455
4,25,18,37.32552
4,25,19,44.82537
4,25,20,52.06839
4,25,21,46.25523
4,25,22,42.83898
4,25,23,37.32552
4,25,24,37.32552
4,25,25,37.32552
4,25,26,37.32552
4,25,27,37.32552
4,25,28,37.32552
4,25,29,37.32552
4,25,30,46.25523
4,25,31,59.55273
4,25,32,60.80125
4,25,33,46.25523
4,25,34,47.77932
4,25,35,49.40726
4,25,36,47.77932
4,25,37,44.82537
4,25,38,44.14308
4,25,39,43.48125
4,25,40,48.57966
4,25,41,47.77932
4,25,42,42.83898
4,25,43,41.02118
4,25,44,40.44904
4,25,45,40.44904
4,25,46,41.02118
4,25,47,41.02118
4,25,48,47.77932
4,25,49,66.36671
4,25,50,60.80125
4,25,51,64.88197
4,25,52,57.20346
4,25,53,52.06839
4,25,54,50.26356
4,25,55,52.06839
4,25,56,44.82537
4,25,57,42.2154
4,25,58,39.35136
4,25,59,37.32552
4,25,60,37.32552
4,25,61,37.32552
4,25,62,37.32552
4,25,63,37.32552
4,25,64,37.32552
4,25,65,37.32552
4,25,66,37.32552
4,25,67,37.32552
4,25,68,37.32552
4,25,69,37.32552
4,25,70,37.32552
4,25,71,37.32552
4,25,72,37.32552
4,25,73,37.32552
4,25,74,37.32552
4,25,75,37.32552
4,25,76,37.32552
4,25,77,37.32552
4,25,78,37.32552
4,25,79,37.32552
4,25,80,37.32552
4,25,81,37.32552
4,25,82,37.32552
4,25,83,37.32552
4,25,84,37.32552
4,25,85,37.32552
4,25,86,44.82537
4,25,87,42.2154
4,25,88,52.06839
4,26,0,23.50683
4,26,1,21.32859
4,26,2,19.79966
4,26,3,19.79966
4,26,4,20.68953
4,26,5,27.21233
4,26,6,24.77176
4,26,7,23.50683
4,26,8,23.11341
4,26,9,22.73294
4,26,10,20.38415
4,26,11,19.51981
4,26,12,17.7624
4,26,13,17.7624
4,26,14,17.7624
4,26,15,17.7624
4,26,16,19.24775
4,26,17,18.47527
4,26,18,17.7624
4,26,19,21.32859
4,26,20,24.77176
4,26,21,22.00839
4,26,22,20.38415
4,26,23,17.7624
4,26,24,17.7624
4,26,25,17.7624
4,26,26,17.7624
4,26,27,17.7624
4,26,28,17.7624
4,26,29,17.7624
4,26,30,22.00839
4,26,31,28.32873
4,26,32,28.922
4,26,33,22.00839
4,26,34,22.73294
4,26,35,23.50683
4,26,36,22.73294
4,26,37,21.32859
4,26,38,21.0042
4,26,39,20.68953
4,26,40,23.11341
4,26,41,22.73294
4,26,42,20.38415
4,26,43,19.51981
4,26,44,19.24775
4,26,45,19.24775
4,26,46,19.51981
4,26,47,19.51981
4,26,48,22.73294
4,26,49,31.56629
4,26,50,28.922
4,26,51,30.8609
4,26,52,27.21233
4,26,53,24.77176
4,26,54,23.91387
4,26,55,24.77176
4,26,56,21.32859
4,26,57,20.08766
4,26,58,18.72578
4,26,59,17.7624
4,26,60,17.7624
4,26,61,17.7624
4,26,62,17.7624
4,26,63,17.7624
4,26,64,17.7624
4,26,65,17.7624
4,26,66,17.7624
4,26,67,17.7624
4,26,68,17.7624
4,26,69,17.7624
4,26,70,17.7624
4,26,71,17.7624
4,26,72,17.7624
4,26,73,17.7624
4,26,74,17.7624
4,26,75,17.7624
4,26,76,17.7624
4,26,77,17.7624
4,26,78,17.7624
4,26,79,17.7624
4,26,80,17.7624
4,26,81,17.7624
4,26,82,17.7624
4,26,83,17.7624
4,26,84,17.7624
4,26,85,17.7624
4,26,86,21.32859
4,26,87,20.08766
4,26,88,24.77176
5,1,0,78.43098
5,1,1,71.11799
5,1,2,65.99046
5,1,3,65.99046
5,1,4,68.97424
5,1,5,90.89287
5,1,6,82.68203
5,1,7,78.43098
5,1,8,77.10946
5,1,9,75.83174
5,1,10,67.95012
5,1,11,65.05243
5,1,12,59.16528
5,1,13,59.16528
5,1,14,59.16528
5,1,15,59.16528
5,1,16,64.14069
5,1,17,61.5526
5,1,18,59.16528
5,1,19,71.11799
5,1,20,82.68203
5,1,21,73.39926
5,1,22,67.95012
5,1,23,59.16528
5,1,24,59.16528
5,1,25,59.16528
5,1,26,59.16528
5,1,27,59.16528
5,1,28,59.16528
5,1,29,59.16528
5,1,30,73.39926
5,1,31,94.6527
5,1,32,96.65173
5,1,33,73.39926
5,1,34,75.83174
5,1,35,78.43098
5,1,36,75.83174
5,1,37,71.11799
5,1,38,70.02971
5,1,39,68.97424
5,1,40,77.10946
5,1,41,75.83174
5,1,42,67.95012
5,1,43,65.05243
5,1,44,64.14069
5,1,45,64.14069
5,1,46,65.05243
5,1,47,65.05243
5,1,48,75.83174
5,1,49,105.5701
5,1,50,96.65173
5,1,51,103.1897
5,1,52,90.89287
5,1,53,82.68203
5,1,54,79.79858
5,1,55,82.68203
5,1,56,71.11799
5,1,57,66.95596
5,1,58,62.39178
5,1,59,59.16528
5,1,60,59.16528
5,1,61,59.16528
5,1,62,59.16528
5,1,63,59.16528
5,1,64,59.16528
5,1,65,59.16528
5,1,66,59.16528
5,1,67,59.16528
5,1,68,59.16528
5,1,69,59.16528
5,1,70,59.16528
5,1,71,59.16528
5,1,72,59.16528
5,1,73,59.16528
5,1,74,59.16528
5,1,75,59.16528
5,1,76,59.16528
5,1,77,59.16528
5,1,78,59.16528
5,1,79,59.16528
5,1,80,59.16528
5,1,81,59.16528
5,1,82,59.16528
5,1,83,59.16528
5,1,84,59.16528
5,1,85,59.16528
5,1,86,71.11799
5,1,87,66.95596
5,1,88,82.68203
5,6,0,162.8654
5,6,1,147.6948
5,6,2,137.056
5,6,3,137.056
5,6,4,143.2471
5,6,5,188.7102
5,6,6,171.6827
5,6,7,162.8654
5,6,8,160.1242
5,6,9,157.4738
5,6,10,141.1222
5,6,11,135.1096
5,6,12,122.8925
5,6,13,122.8925
5,6,14,122.8925
5,6,15,122.8925
5,6,16,133.2176
5,6,17,127.8469
5,6,18,122.8925
5,6,19,147.6948
5,6,20,171.6827
5,6,21,152.4276
5,6,22,141.1222
5,6,23,122.8925
5,6,24,122.8925
5,6,25,122.8925
5,6,26,122.8925
5,6,27,122.8925
5,6,28,122.8925
5,6,29,122.8925
5,6,30,152.4276
5,6,31,196.506
5,6,32,200.6505
5,6,33,152.4276
5,6,34,157.4738
5,6,35,162.8654
5,6,36,157.4738
5,6,37,147.6948
5,6,38,145.437
5,6,39,143.2471
5,6,40,160.1242
5,6,41,157.4738
5,6,42,141.1222
5,6,43,135.1096
5,6,44,133.2176
5,6,45,133.2176
5,6,46,135.1096
5,6,47,135.1096
5,6,48,157.4738
5,6,49,219.138
5,6,50,200.6505
5,6,51,214.2039
5,6,52,188.7102
5,6,53,171.6827
5,6,54,165.7022
5,6,55,171.6827
5,6,56,147.6948
5,6,57,139.0594
5,6,58,129.5884
5,6,59,122.8925
5,6,60,122.8925
5,6,61,122.8925
5,6,62,122.8925
5,6,63,122.8925
5,6,64,122.8925
5,6,65,122.8925
5,6,66,122.8925
5,6,67,122.8925
5,6,68,122.8925
5,6,69,122.8925
5,6,70,122.8925
5,6,71,122.8925
5,6,72,122.8925
5,6,73,122.8925
5,6,74,122.8925
5,6,75,122.8925
5,6,76,122.8925
5,6,77,122.8925
5,6,78,122.8925
5,6,79,122.8925
5,6,80,122.8925
5,6,81,122.8925
5,6,82,122.8925
5,6,83,122.8925
5,6,84,122.8925
5,6,85,122.8925
5,6,86,147.6948
5,6,87,139.0594
5,6,88,171.6827
5,14,0,17.22473
5,14,1,15.62138
5,14,2,14.49686
5,14,3,14.49686
5,14,4,15.15127
5,14,5,19.95566
5,14,6,18.1565
5,14,7,17.22473
5,14,8,16.93503
5,14,9,16.65492
5,14,10,14.92667
5,14,11,14.29111
5,14,12,12.9996
5,14,13,12.9996
5,14,14,12.9996
5,14,15,12.9996
5,14,16,14.09112
5,14,17,13.52337
5,14,18,12.9996
5,14,19,15.62138
5,14,20,18.1565
5,14,21,16.1216
