stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:65477,,Røsok,,62.741295,6.435368,,,0,NSR:StopPlace:37752,2,,,700
NSR:Quay:103069,,Linvågen,,63.17986,7.949617,,,0,NSR:StopPlace:39378,2,,,700
NSR:Quay:70889,,Reiten,,62.833748,6.945244,,,0,NSR:StopPlace:41422,2,,,700
NSR:Quay:66798,,Øvre Jarnes,,62.390263,6.546515,,,0,NSR:StopPlace:38633,2,,,700
NSR:Quay:65467,,Vartdal kyrkje,,62.324585,6.143147,,,0,NSR:StopPlace:37744,2,,,700
NSR:Quay:66799,,Rabben,,62.29702,5.651508,,,0,NSR:StopPlace:38634,2,,,700
NSR:Quay:65468,,Vartdal kyrkje,,62.32452,6.142535,,,0,NSR:StopPlace:37744,2,,,700
NSR:Quay:69826,,Bjerkeset,,62.86591,7.624166,,,0,NSR:StopPlace:40690,2,,,700
NSR:Quay:69823,,Nakkestranda,,62.153313,6.233721,,,0,NSR:StopPlace:40688,2,,,700
NSR:Quay:65469,,Røsberg,,62.787086,7.577308,,,0,NSR:StopPlace:37745,2,,,700
NSR:Quay:69824,,Nakkestranda,,62.152836,6.234437,,,0,NSR:StopPlace:40688,2,,,700
NSR:Quay:69829,,Nakkevegen,,62.148273,6.246238,,,0,NSR:StopPlace:40691,2,,,700
NSR:Quay:69827,,Bjerkeset,,62.866364,7.625279,,,0,NSR:StopPlace:40690,2,,,700
NSR:Quay:69828,,Nakkevegen,,62.14807,6.246449,,,0,NSR:StopPlace:40691,2,,,700
NSR:Quay:68573,,Stette oppvekstsenter,,62.52462,6.603904,,,0,NSR:StopPlace:39831,2,,,700
NSR:Quay:67242,,Øvre Helset,,62.590736,7.138044,,,0,NSR:StopPlace:38927,2,,,700
NSR:Quay:68572,,Kirkmyra,,63.03417,7.736058,,,0,NSR:StopPlace:39830,2,,,700
NSR:Quay:67241,,Åsbygda,,62.63041,7.056618,,,0,NSR:StopPlace:38926,2,,,700
NSR:Quay:68575,,Geiranger kyrkje,,62.09851,7.207662,,,0,NSR:StopPlace:39833,2,,,700
NSR:Quay:67244,,Storberget,,62.598793,7.133546,,,0,NSR:StopPlace:38929,2,,,700
NSR:Quay:68577,,Stette oppvekstsenter,,62.52453,6.605071,,,0,NSR:StopPlace:39831,2,,,700
NSR:Quay:67246,,Leirvikbukta,,62.631485,7.066195,,,0,NSR:StopPlace:38930,2,,,700
NSR:Quay:68576,,Geiranger kyrkje,,62.0986,7.207561,,,0,NSR:StopPlace:39833,2,,,700
NSR:Quay:67245,,Leirvikbukta,,62.6316,7.065466,,,0,NSR:StopPlace:38930,2,,,700
NSR:Quay:67248,,Ås,,62.62944,7.046221,,,0,NSR:StopPlace:38932,2,,,700
NSR:Quay:67247,,Helsetvatnet,,62.955868,7.518167,,,0,NSR:StopPlace:38931,2,,,700
NSR:Quay:70814,,Djupvik,,62.0583,6.299083,,,0,NSR:StopPlace:41363,2,,,700
NSR:Quay:70815,,Ranvikkrysset,,62.738747,7.169576,,,0,NSR:StopPlace:41364,2,,,700
NSR:Quay:70816,,Skålasenteret,,62.70228,7.424821,,,0,NSR:StopPlace:41365,2,,,700
NSR:Quay:70817,,Skålasenteret,,62.70219,7.424682,,,0,NSR:StopPlace:41365,2,,,700
NSR:Quay:70812,,Djupvik,,62.05834,6.299137,,,0,NSR:StopPlace:41363,2,,,700
NSR:Quay:68571,,Kirkmyra,,63.03418,7.736275,,,0,NSR:StopPlace:39830,2,,,700
NSR:Quay:67240,,Åsbygda,,62.630768,7.059858,,,0,NSR:StopPlace:38926,2,,,700
NSR:Quay:70813,,Ranvikkrysset,,62.738777,7.169828,,,0,NSR:StopPlace:41364,2,,,700
NSR:Quay:68570,,Geiranger,,62.103016,7.204713,,,0,NSR:StopPlace:39829,2,,,700
NSR:Quay:70818,,Djupvika,,62.43908,6.253183,,,0,NSR:StopPlace:41366,2,,,700
NSR:Quay:70819,,Ratet,,62.587814,9.015049,,,0,NSR:StopPlace:41367,2,,,700
NSR:Quay:67239,,Helset,,62.78837,7.032994,,,0,NSR:StopPlace:38925,2,,,700
NSR:Quay:68562,,Stenekrysset,,62.95671,7.497579,,,0,NSR:StopPlace:39825,2,,,700
NSR:Quay:67231,,Årølivegen/Jordbærvegen,,62.754574,7.27193,,,0,NSR:StopPlace:38919,2,,,700
NSR:Quay:68561,,Stenekrysset,,62.956596,7.497684,,,0,NSR:StopPlace:39825,2,,,700
NSR:Quay:67230,,Årølivegen/Jordbærvegen,,62.75447,7.269419,,,0,NSR:StopPlace:38919,2,,,700
NSR:Quay:69892,,Bjørkavåg kryss,,62.425377,6.305785,,,0,NSR:StopPlace:40736,2,,,700
NSR:Quay:68564,,Kirkekrysset,,62.440605,6.206188,,,0,NSR:StopPlace:39826,2,,,700
NSR:Quay:67233,,Årølivegen/Kvilarvegen,,62.754726,7.279279,,,0,NSR:StopPlace:38921,2,,,700
NSR:Quay:70820,,Djupvika,,62.439037,6.253361,,,0,NSR:StopPlace:41366,2,,,700
NSR:Quay:68563,,Kirkekrysset,,62.44046,6.205543,,,0,NSR:StopPlace:39826,2,,,700
NSR:Quay:68566,,Stette,,62.523438,6.629286,,,0,NSR:StopPlace:39827,2,,,700
NSR:Quay:67235,,Nedre Helset,,62.595097,7.135668,,,0,NSR:StopPlace:38922,2,,,700
NSR:Quay:69899,,Bjørke skule,,62.101868,6.550073,,,0,NSR:StopPlace:40742,2,,,700
NSR:Quay:67234,,Årølivegen/Kvilarvegen,,62.754906,7.281005,,,0,NSR:StopPlace:38921,2,,,700
NSR:Quay:68565,,Stette,,62.523106,6.63079,,,0,NSR:StopPlace:39827,2,,,700
NSR:Quay:69896,,Bjørke,,62.10782,6.557011,,,0,NSR:StopPlace:40740,2,,,700
NSR:Quay:68568,,Stette,,62.523804,6.630696,,,0,NSR:StopPlace:39827,2,,,700
NSR:Quay:69897,,Bjørke,,62.107826,6.557432,,,0,NSR:StopPlace:40740,2,,,700
NSR:Quay:68567,,Stette,,62.523594,6.627778,,,0,NSR:StopPlace:39827,2,,,700
NSR:Quay:67236,,Nedre Helset,,62.59559,7.135637,,,0,NSR:StopPlace:38922,2,,,700
NSR:Quay:70825,,Raudemyrvegen,,62.15244,6.099218,,,0,NSR:StopPlace:41370,2,,,700
NSR:Quay:70827,,Djupåa nyveien,,62.938972,7.43149,,,0,NSR:StopPlace:41372,2,,,700
NSR:Quay:70828,,Raudsand,,62.82888,8.120313,,,0,NSR:StopPlace:41373,2,,,700
NSR:Quay:70821,,Ratviksvingen,,62.464344,6.261367,,,0,NSR:StopPlace:41368,2,,,700
NSR:Quay:69890,,Nedre Glomset,,62.467133,6.621939,,,0,NSR:StopPlace:40735,2,,,700
NSR:Quay:70822,,Ratviksvingen,,62.464005,6.263564,,,0,NSR:StopPlace:41368,2,,,700
NSR:Quay:69891,,Bjørkavåg kryss,,62.425243,6.305893,,,0,NSR:StopPlace:40736,2,,,700
NSR:Quay:70823,,Djupvika,,62.263012,5.796775,,,0,NSR:StopPlace:41369,2,,,700
NSR:Quay:68560,,Geiranger ferjekai,,62.1036,7.20273,,,0,NSR:StopPlace:39824,2,,,1000
NSR:Quay:70824,,Djupvika,,62.26299,5.796932,,,0,NSR:StopPlace:41369,2,,,700
NSR:Quay:70829,,Djupåa gammelvei,,62.94114,7.43102,,,0,NSR:StopPlace:41374,2,,,700
NSR:Quay:68559,,Stemshaug,,63.327755,8.708188,,,0,NSR:StopPlace:39823,2,,,700
NSR:Quay:67227,,Årølia,,62.755497,7.291231,,,0,NSR:StopPlace:38916,2,,,700
NSR:Quay:68558,,Stemshaug,,63.327793,8.708029,,,0,NSR:StopPlace:39823,2,,,700
NSR:Quay:69889,,Bjøringen,,63.229042,8.580062,,,0,NSR:StopPlace:40734,2,,,700
