id,latitude,longitude
5086249324,62.5317635,6.2852688
5086249379,62.6172969,6.2125885
5086249381,62.5609882,6.2816448
5086249655,62.6463801,6.2589378
5086250280,62.5510598,6.2566946
5086250458,62.6073859,6.1963002
5086250468,62.5347219,6.3676944
5086250475,62.6402081,6.2664375
5086250516,62.5477115,6.2794818
5086250573,62.6372841,6.2734808
5086250625,62.6377296,6.2692096
5086250732,62.6596602,6.1797067
5114434524,62.472224,6.150797
5244273884,62.4320494,6.397031
5244274004,62.432169,6.3980978
5268201914,62.4599903,6.370082
5286177301,62.4586077,6.3660805
6280071623,62.4732696,6.1568814
6284434888,62.47225,6.221218
6284501002,62.4741035,6.1576894
6286311785,62.4684458,6.1909139
6286715943,62.4728686,6.1521532
6286715944,62.4732032,6.1517952
6286715954,62.472158,6.15109
6286725864,62.4724926,6.1618958
6286881158,62.4664713,6.2885664
6768815489,62.463354,6.10666
7204338370,62.471472,6.169701
7351622737,62.4922092,6.254667
7351622869,62.4943114,6.1955834
7351622921,62.4991335,6.215745
7351622928,62.5000969,6.218503
7351622935,62.5004395,6.2181984
7351622970,62.4996231,6.2182167
7351623058,62.498579,6.2160756
7351623075,62.4937944,6.191444
7351623255,62.5007485,6.3844914
7351623698,62.4952089,6.1980446
7351623703,62.4952113,6.1958496
7351623715,62.4951252,6.1974384
7351623716,62.4949066,6.1936577
7351623720,62.4945835,6.1938496
7351623731,62.4950457,6.2013943
7351623735,62.4937647,6.1959959
7351623758,62.4986311,6.2194337
7351623759,62.4988178,6.2194321
7351623761,62.4931726,6.1996326
7351623771,62.4925714,6.1939567
7351623826,62.4967137,6.2122568
7351623881,62.4953597,6.2003625
7351624159,62.4933323,6.2991795
7351624174,62.5014417,6.3938227
7351624175,62.4937803,6.3043015
7351624193,62.4952997,6.3124077
7351624208,62.4936559,6.2989517
7351624209,62.4943331,6.2975043
7351624217,62.4943503,6.2985109
7351624225,62.4954338,6.2028199
7351624226,62.4952281,6.2032667
7351624227,62.4945533,6.3288986
7351624237,62.4952917,6.1987803
7351624238,62.4915127,6.1906349
7351624243,62.490527,6.1903037
7351624252,62.4958069,6.1991078
7351624315,62.4958071,6.1985843
7351624367,62.5020903,6.3909982
7351624406,62.501008,6.3828618
7351624482,62.5078882,6.4186321
7351624569,62.5013816,6.393539
