id,startId,stopId,name,type,length,maxSpeed,list0,list1
6419,7389962125,7389961859,Elvemyrvegen,residential,329.726,30,6.443188@6.443146@6.443144@6.44316@6.443176@6.443223@6.443277@6.443341@6.443416@6.443502@6.443603@6.443661@6.44376@6.443876@6.444053@6.444171@6.444497@6.445972@6.446412@6.4465661@6.446731@6.447864@6.448244@6.4483594@6.448437,62.435754@62.435593@62.435506@62.435444@62.435414@62.435354@62.435303@62.435256@62.435211@62.435168@62.435127@62.435108@62.435083@62.435061@62.435038@62.435026@62.435002@62.434907@62.434886@62.4348779@62.434882@62.434897@62.434893@62.4348876@62.434884
6420,7389962125,7389963353,Elvemyrvegen,residential,17.833,30,6.443188@6.443191@6.443233,62.435754@62.43577@62.435913
6421,7389962191,7389960413,Flisnesvegen,residential,110.468,30,6.411018@6.410763@6.410453@6.410327@6.410225@6.410144@6.4100808,62.429897@62.42971@62.429491@62.429392@62.429287@62.429183@62.4290156
6422,7389962191,7389962052,Flisnesvegen,residential,138.683,30,6.411018@6.411332@6.411469@6.411582@6.411768@6.411834@6.41187@6.411874@6.411855@6.411815,62.429897@62.43011@62.430209@62.430305@62.430532@62.430641@62.430746@62.430858@62.430945@62.431044
6423,7389962191,7389961704,Lemhaugen,residential,27.161,30,6.411018@6.411069@6.411161@6.411265@6.411483,62.429897@62.429873@62.429844@62.429822@62.429789
6424,7389962508,7389963175,Storbergvegen,residential,381.911,50,6.425331@6.425027@6.424852@6.424692@6.424528@6.424267@6.423744@6.423672@6.423599@6.423554@6.423523@6.423514@6.423537@6.423572@6.423628@6.423703@6.423774@6.423855@6.423955@6.424069@6.424208@6.424617@6.424958@6.425296@6.425465@6.425629@6.425775@6.425941@6.426084@6.426241@6.426381@6.426525@6.426655@6.426778@6.426885@6.427059@6.427234@6.427415@6.427459,62.436099@62.436076@62.436055@62.436028@62.435994@62.435922@62.435748@62.435718@62.435676@62.435635@62.435592@62.435542@62.435498@62.435457@62.435419@62.435388@62.435366@62.43535@62.435341@62.435343@62.435356@62.435409@62.435446@62.435464@62.435465@62.435457@62.435443@62.435422@62.4354@62.435364@62.435326@62.435275@62.435226@62.43517@62.435109@62.434973@62.43482@62.434653@62.4346
6425,7389962602,7389963630,Brudelia,residential,139.522,30,6.414731@6.415076@6.415855@6.41597@6.416095@6.416223@6.416369@6.416494@6.416626@6.417285,62.428931@62.428925@62.428905@62.4289@62.428889@62.428874@62.428853@62.42883@62.428799@62.42861
6426,7389962624,7389961976,Skråvikvegen,residential,88.899,30,6.406887@6.406459@6.406156@6.405903@6.405783@6.40572@6.4056679@6.405617@6.405533@6.405421@6.405385,62.425027@62.424976@62.424933@62.424905@62.424886@62.424872@62.4248558@62.42484@62.424798@62.424723@62.424697
6427,7389962626,7389960858,Olevågvegen,residential,143.231,30,6.4086496@6.4083101@6.407238@6.40651@6.4063073@6.4058922,62.431322@62.4313475@62.431428@62.431475@62.4314719@62.4314656
6428,7389962626,7389960859,Olevågvegen,residential,156.438,30,6.4086496@6.409349@6.4099109@6.4103267@6.4108331@6.4113244@6.4114961@6.411668,62.431322@62.431282@62.431275@62.4312786@62.4312939@62.431325@62.4313449@62.431364
